sms_text,category,true_merchant,true_amount
UPI txn of Rs 2827 to H&M on 09-02-2026 is successful.,Shopping,H&M,2827
UPI txn of Rs 1417 to McDonalds on 30-01-2026 is successful.,Food,McDonalds,1417
INR 344 charged on card ending 4455 at IRCTC on 21-01-2026.,Travel,IRCTC,344
"Dear User, INR 798 spent on Myntra at 07-02-2026. Ref: 8932742.",Shopping,Myntra,798
You paid Rs 4285 at Reliance Trends via POS on 11-01-2026.,Shopping,Reliance Trends,4285
UPI txn of Rs 1324 to Prime Video on 31-01-2026 is successful.,Entertainment,Prime Video,1324
UPI txn of Rs 1805 to Reliance Fresh on 14-01-2026 is successful.,Groceries,Reliance Fresh,1805
Acct XX999 debited by Rs 1593 for 1mg on 17-01-2026.,Health,1mg,1593
Alert: You have spent Rs 236 at 1mg on 29-01-2026. Clear bal: Rs. 1200.00,Health,1mg,236
You paid Rs 439 at Pizza Hut via POS on 15-01-2026.,Food,Pizza Hut,439
INR 1124 charged on card ending 4455 at Starbucks on 28-01-2026.,Food,Starbucks,1124
You paid Rs 598 at McDonalds via POS on 03-02-2026.,Food,McDonalds,598
You paid Rs 1357 at McDonalds via POS on 23-01-2026.,Food,McDonalds,1357
"Dear User, INR 105 spent on Gaana at 02-02-2026. Ref: 8932742.",Entertainment,Gaana,105
Alert: You have spent Rs 2344 at Nike on 24-01-2026. Clear bal: Rs. 1200.00,Shopping,Nike,2344
Alert: You have spent Rs 1607 at Decathlon on 08-02-2026. Clear bal: Rs. 1200.00,Shopping,Decathlon,1607
Alert: You have spent Rs 306 at KFC on 28-01-2026. Clear bal: Rs. 1200.00,Food,KFC,306
"Dear User, INR 1475 spent on Spencers at 10-01-2026. Ref: 8932742.",Groceries,Spencers,1475
Paid Rs 1087 to Practo via UPI on 26-01-2026. Txn ID: 998877.,Health,Practo,1087
UPI txn of Rs 1146 to BigBasket on 22-01-2026 is successful.,Groceries,BigBasket,1146
Txn of INR 1424 done at Gym Membership on 17-01-2026 using UPI.,Health,Gym Membership,1424
You paid Rs 1021 at Shell Petrol via POS on 11-01-2026.,Travel,Shell Petrol,1021
INR 981 charged on card ending 4455 at BigBasket on 30-01-2026.,Groceries,BigBasket,981
UPI txn of Rs 155 to More Supermarket on 07-02-2026 is successful.,Groceries,More Supermarket,155
Rs. 258 debited from a/c ending XX1234 on 13-01-2026 to Swiggy. Avl Bal: Rs 15000.,Food,Swiggy,258
UPI txn of Rs 1551 to Netflix on 29-01-2026 is successful.,Entertainment,Netflix,1551
Alert: You have spent Rs 1963 at Metro on 03-02-2026. Clear bal: Rs. 1200.00,Travel,Metro,1963
Acct XX999 debited by Rs 914 for Apollo Pharmacy on 10-01-2026.,Health,Apollo Pharmacy,914
Txn of INR 1300 done at Apollo Pharmacy on 19-01-2026 using UPI.,Health,Apollo Pharmacy,1300
Txn of INR 319 done at Netmeds on 08-02-2026 using UPI.,Health,Netmeds,319
Acct XX999 debited by Rs 2507 for H&M on 06-02-2026.,Shopping,H&M,2507
Alert: You have spent Rs 767 at Haldirams on 08-02-2026. Clear bal: Rs. 1200.00,Food,Haldirams,767
Rs. 843 debited from a/c ending XX1234 on 18-01-2026 to Ola. Avl Bal: Rs 15000.,Travel,Ola,843
You paid Rs 1202 at Netflix via POS on 17-01-2026.,Entertainment,Netflix,1202
Txn of INR 1017 done at McDonalds on 06-02-2026 using UPI.,Food,McDonalds,1017
Rs. 1968 debited from a/c ending XX1234 on 29-01-2026 to 1mg. Avl Bal: Rs 15000.,Health,1mg,1968
"Dear User, INR 203 spent on Rapido at 27-01-2026. Ref: 8932742.",Travel,Rapido,203
INR 708 charged on card ending 4455 at Myntra on 06-02-2026.,Shopping,Myntra,708
Acct XX999 debited by Rs 155 for Indian Oil on 08-02-2026.,Travel,Indian Oil,155
Txn of INR 985 done at Practo on 04-02-2026 using UPI.,Health,Practo,985
UPI txn of Rs 847 to Dominos on 06-02-2026 is successful.,Food,Dominos,847
INR 1739 charged on card ending 4455 at Netmeds on 27-01-2026.,Health,Netmeds,1739
Alert: You have spent Rs 765 at McDonalds on 29-01-2026. Clear bal: Rs. 1200.00,Food,McDonalds,765
Txn of INR 1884 done at 1mg on 16-01-2026 using UPI.,Health,1mg,1884
Rs. 150 debited from a/c ending XX1234 on 05-02-2026 to Zomato. Avl Bal: Rs 15000.,Food,Zomato,150
UPI txn of Rs 569 to Practo on 08-02-2026 is successful.,Health,Practo,569
Txn of INR 2561 done at Croma on 31-01-2026 using UPI.,Shopping,Croma,2561
INR 677 charged on card ending 4455 at BigBasket on 22-01-2026.,Groceries,BigBasket,677
Rs. 2079 debited from a/c ending XX1234 on 30-01-2026 to Croma. Avl Bal: Rs 15000.,Shopping,Croma,2079
INR 335 charged on card ending 4455 at Reliance Fresh on 07-02-2026.,Groceries,Reliance Fresh,335
Alert: You have spent Rs 1179 at Starbucks on 22-01-2026. Clear bal: Rs. 1200.00,Food,Starbucks,1179
Paid Rs 83 to More Supermarket via UPI on 25-01-2026. Txn ID: 998877.,Groceries,More Supermarket,83
Txn of INR 937 done at KFC on 10-01-2026 using UPI.,Food,KFC,937
Alert: You have spent Rs 341 at BookMyShow on 12-01-2026. Clear bal: Rs. 1200.00,Entertainment,BookMyShow,341
"Dear User, INR 440 spent on Subway at 08-02-2026. Ref: 8932742.",Food,Subway,440
Rs. 1511 debited from a/c ending XX1234 on 14-01-2026 to SonyLIV. Avl Bal: Rs 15000.,Entertainment,SonyLIV,1511
Txn of INR 4084 done at Myntra on 29-01-2026 using UPI.,Shopping,Myntra,4084
UPI txn of Rs 3025 to Myntra on 09-02-2026 is successful.,Shopping,Myntra,3025
INR 536 charged on card ending 4455 at Indian Oil on 30-01-2026.,Travel,Indian Oil,536
You paid Rs 594 at 1mg via POS on 08-02-2026.,Health,1mg,594
INR 1675 charged on card ending 4455 at Gym Membership on 28-01-2026.,Health,Gym Membership,1675
Txn of INR 1502 done at More Supermarket on 03-02-2026 using UPI.,Groceries,More Supermarket,1502
Alert: You have spent Rs 865 at Dr Lal Pathlabs on 04-02-2026. Clear bal: Rs. 1200.00,Health,Dr Lal Pathlabs,865
Paid Rs 96 to BookMyShow via UPI on 16-01-2026. Txn ID: 998877.,Entertainment,BookMyShow,96
You paid Rs 3230 at Decathlon via POS on 23-01-2026.,Shopping,Decathlon,3230
Paid Rs 421 to KFC via UPI on 02-02-2026. Txn ID: 998877.,Food,KFC,421
You paid Rs 2721 at Nike via POS on 13-01-2026.,Shopping,Nike,2721
UPI txn of Rs 201 to KFC on 31-01-2026 is successful.,Food,KFC,201
Acct XX999 debited by Rs 307 for Dominos on 29-01-2026.,Food,Dominos,307
Alert: You have spent Rs 1178 at KFC on 01-02-2026. Clear bal: Rs. 1200.00,Food,KFC,1178
Rs. 438 debited from a/c ending XX1234 on 02-02-2026 to Hotstar. Avl Bal: Rs 15000.,Entertainment,Hotstar,438
"Dear User, INR 779 spent on Cafe Coffee Day at 20-01-2026. Ref: 8932742.",Food,Cafe Coffee Day,779
Paid Rs 1657 to Dmart via UPI on 05-02-2026. Txn ID: 998877.,Groceries,Dmart,1657
Acct XX999 debited by Rs 1012 for Swiggy on 06-02-2026.,Food,Swiggy,1012
Acct XX999 debited by Rs 965 for Prime Video on 02-02-2026.,Entertainment,Prime Video,965
"Dear User, INR 1970 spent on BigBasket at 30-01-2026. Ref: 8932742.",Groceries,BigBasket,1970
INR 789 charged on card ending 4455 at Ajio on 15-01-2026.,Shopping,Ajio,789
You paid Rs 417 at Reliance Fresh via POS on 24-01-2026.,Groceries,Reliance Fresh,417
INR 242 charged on card ending 4455 at Dr Lal Pathlabs on 13-01-2026.,Health,Dr Lal Pathlabs,242
You paid Rs 174 at Subway via POS on 29-01-2026.,Food,Subway,174
UPI txn of Rs 999 to SonyLIV on 13-01-2026 is successful.,Entertainment,SonyLIV,999
UPI txn of Rs 4564 to Ajio on 03-02-2026 is successful.,Shopping,Ajio,4564
Acct XX999 debited by Rs 1743 for Blinkit on 16-01-2026.,Groceries,Blinkit,1743
UPI txn of Rs 464 to Dr Lal Pathlabs on 27-01-2026 is successful.,Health,Dr Lal Pathlabs,464
Alert: You have spent Rs 1157 at More Supermarket on 23-01-2026. Clear bal: Rs. 1200.00,Groceries,More Supermarket,1157
Rs. 1438 debited from a/c ending XX1234 on 20-01-2026 to Swiggy. Avl Bal: Rs 15000.,Food,Swiggy,1438
UPI txn of Rs 3328 to Myntra on 02-02-2026 is successful.,Shopping,Myntra,3328
Rs. 836 debited from a/c ending XX1234 on 21-01-2026 to Uber. Avl Bal: Rs 15000.,Travel,Uber,836
Acct XX999 debited by Rs 4118 for Croma on 31-01-2026.,Shopping,Croma,4118
Acct XX999 debited by Rs 871 for Rapido on 15-01-2026.,Travel,Rapido,871
INR 3662 charged on card ending 4455 at Amazon on 12-01-2026.,Shopping,Amazon,3662
"Dear User, INR 1278 spent on Starbucks at 04-02-2026. Ref: 8932742.",Food,Starbucks,1278
INR 927 charged on card ending 4455 at BigBasket on 18-01-2026.,Groceries,BigBasket,927
Paid Rs 1321 to Spencers via UPI on 17-01-2026. Txn ID: 998877.,Groceries,Spencers,1321
UPI txn of Rs 1017 to IRCTC on 12-01-2026 is successful.,Travel,IRCTC,1017
"Dear User, INR 4899 spent on Amazon at 08-02-2026. Ref: 8932742.",Shopping,Amazon,4899
UPI txn of Rs 94 to Netflix on 06-02-2026 is successful.,Entertainment,Netflix,94
Paid Rs 886 to BigBasket via UPI on 27-01-2026. Txn ID: 998877.,Groceries,BigBasket,886
Rs. 473 debited from a/c ending XX1234 on 11-01-2026 to RedBus. Avl Bal: Rs 15000.,Travel,RedBus,473
"Dear User, INR 1267 spent on Subway at 01-02-2026. Ref: 8932742.",Food,Subway,1267
"Dear User, INR 941 spent on Croma at 07-02-2026. Ref: 8932742.",Shopping,Croma,941
INR 353 charged on card ending 4455 at Subway on 12-01-2026.,Food,Subway,353
Acct XX999 debited by Rs 1812 for BigBasket on 14-01-2026.,Groceries,BigBasket,1812
You paid Rs 103 at Netmeds via POS on 04-02-2026.,Health,Netmeds,103
INR 74 charged on card ending 4455 at Spencers on 13-01-2026.,Groceries,Spencers,74
Rs. 951 debited from a/c ending XX1234 on 04-02-2026 to Subway. Avl Bal: Rs 15000.,Food,Subway,951
Paid Rs 1884 to Ajio via UPI on 14-01-2026. Txn ID: 998877.,Shopping,Ajio,1884
"Dear User, INR 1809 spent on Amazon at 27-01-2026. Ref: 8932742.",Shopping,Amazon,1809
Rs. 557 debited from a/c ending XX1234 on 27-01-2026 to Practo. Avl Bal: Rs 15000.,Health,Practo,557
UPI txn of Rs 900 to Subway on 09-02-2026 is successful.,Food,Subway,900
Txn of INR 1613 done at Netflix on 09-02-2026 using UPI.,Entertainment,Netflix,1613
Alert: You have spent Rs 905 at IRCTC on 14-01-2026. Clear bal: Rs. 1200.00,Travel,IRCTC,905
You paid Rs 1256 at Metro via POS on 12-01-2026.,Travel,Metro,1256
Acct XX999 debited by Rs 553 for SonyLIV on 06-02-2026.,Entertainment,SonyLIV,553
"Dear User, INR 499 spent on Dr Lal Pathlabs at 13-01-2026. Ref: 8932742.",Health,Dr Lal Pathlabs,499
Acct XX999 debited by Rs 1889 for Netflix on 03-02-2026.,Entertainment,Netflix,1889
Alert: You have spent Rs 1061 at Pizza Hut on 19-01-2026. Clear bal: Rs. 1200.00,Food,Pizza Hut,1061
UPI txn of Rs 1914 to Apollo Pharmacy on 10-01-2026 is successful.,Health,Apollo Pharmacy,1914
Acct XX999 debited by Rs 1975 for Shell Petrol on 27-01-2026.,Travel,Shell Petrol,1975
Acct XX999 debited by Rs 1869 for Prime Video on 19-01-2026.,Entertainment,Prime Video,1869
Paid Rs 449 to SpiceJet via UPI on 09-02-2026. Txn ID: 998877.,Travel,SpiceJet,449
"Dear User, INR 178 spent on Spotify at 27-01-2026. Ref: 8932742.",Entertainment,Spotify,178
Txn of INR 872 done at Metro on 06-02-2026 using UPI.,Travel,Metro,872
"Dear User, INR 1742 spent on Prime Video at 06-02-2026. Ref: 8932742.",Entertainment,Prime Video,1742
"Dear User, INR 1947 spent on Netmeds at 05-02-2026. Ref: 8932742.",Health,Netmeds,1947
Alert: You have spent Rs 54 at Shell Petrol on 10-01-2026. Clear bal: Rs. 1200.00,Travel,Shell Petrol,54
INR 1376 charged on card ending 4455 at More Supermarket on 31-01-2026.,Groceries,More Supermarket,1376
Acct XX999 debited by Rs 1026 for Reliance Fresh on 05-02-2026.,Groceries,Reliance Fresh,1026
"Dear User, INR 2725 spent on Amazon at 02-02-2026. Ref: 8932742.",Shopping,Amazon,2725
Paid Rs 231 to Spotify via UPI on 09-02-2026. Txn ID: 998877.,Entertainment,Spotify,231
"Dear User, INR 1278 spent on Burger King at 21-01-2026. Ref: 8932742.",Food,Burger King,1278
Acct XX999 debited by Rs 1959 for IRCTC on 30-01-2026.,Travel,IRCTC,1959
You paid Rs 187 at KFC via POS on 26-01-2026.,Food,KFC,187
Rs. 228 debited from a/c ending XX1234 on 24-01-2026 to Apollo Pharmacy. Avl Bal: Rs 15000.,Health,Apollo Pharmacy,228
You paid Rs 129 at Indian Oil via POS on 17-01-2026.,Travel,Indian Oil,129
Alert: You have spent Rs 263 at Subway on 14-01-2026. Clear bal: Rs. 1200.00,Food,Subway,263
Acct XX999 debited by Rs 135 for Starbucks on 31-01-2026.,Food,Starbucks,135
Rs. 1570 debited from a/c ending XX1234 on 28-01-2026 to Spencers. Avl Bal: Rs 15000.,Groceries,Spencers,1570
Rs. 1737 debited from a/c ending XX1234 on 06-02-2026 to Indian Oil. Avl Bal: Rs 15000.,Travel,Indian Oil,1737
Alert: You have spent Rs 1291 at Gym Membership on 28-01-2026. Clear bal: Rs. 1200.00,Health,Gym Membership,1291
Acct XX999 debited by Rs 1108 for 1mg on 31-01-2026.,Health,1mg,1108
UPI txn of Rs 1257 to Gym Membership on 13-01-2026 is successful.,Health,Gym Membership,1257
Paid Rs 369 to Netmeds via UPI on 24-01-2026. Txn ID: 998877.,Health,Netmeds,369
You paid Rs 2571 at H&M via POS on 22-01-2026.,Shopping,H&M,2571
Alert: You have spent Rs 267 at Reliance Fresh on 07-02-2026. Clear bal: Rs. 1200.00,Groceries,Reliance Fresh,267
UPI txn of Rs 1280 to Netmeds on 12-01-2026 is successful.,Health,Netmeds,1280
Alert: You have spent Rs 3311 at Croma on 29-01-2026. Clear bal: Rs. 1200.00,Shopping,Croma,3311
Alert: You have spent Rs 325 at Gym Membership on 10-01-2026. Clear bal: Rs. 1200.00,Health,Gym Membership,325
Paid Rs 1742 to BigBasket via UPI on 02-02-2026. Txn ID: 998877.,Groceries,BigBasket,1742
"Dear User, INR 423 spent on PVR at 28-01-2026. Ref: 8932742.",Entertainment,PVR,423
UPI txn of Rs 925 to Dr Lal Pathlabs on 13-01-2026 is successful.,Health,Dr Lal Pathlabs,925
Rs. 1134 debited from a/c ending XX1234 on 10-01-2026 to Haldirams. Avl Bal: Rs 15000.,Food,Haldirams,1134
UPI txn of Rs 1419 to Subway on 25-01-2026 is successful.,Food,Subway,1419
Alert: You have spent Rs 1307 at Practo on 04-02-2026. Clear bal: Rs. 1200.00,Health,Practo,1307
"Dear User, INR 1426 spent on Burger King at 10-01-2026. Ref: 8932742.",Food,Burger King,1426
INR 198 charged on card ending 4455 at Reliance Fresh on 03-02-2026.,Groceries,Reliance Fresh,198
UPI txn of Rs 518 to Ola on 29-01-2026 is successful.,Travel,Ola,518
Rs. 1091 debited from a/c ending XX1234 on 20-01-2026 to Haldirams. Avl Bal: Rs 15000.,Food,Haldirams,1091
Paid Rs 1406 to Haldirams via UPI on 23-01-2026. Txn ID: 998877.,Food,Haldirams,1406
Rs. 1078 debited from a/c ending XX1234 on 06-02-2026 to Subway. Avl Bal: Rs 15000.,Food,Subway,1078
Alert: You have spent Rs 3639 at Flipkart on 01-02-2026. Clear bal: Rs. 1200.00,Shopping,Flipkart,3639
"Dear User, INR 720 spent on Reliance Trends at 17-01-2026. Ref: 8932742.",Shopping,Reliance Trends,720
Rs. 874 debited from a/c ending XX1234 on 17-01-2026 to Ola. Avl Bal: Rs 15000.,Travel,Ola,874
Rs. 1853 debited from a/c ending XX1234 on 31-01-2026 to Spencers. Avl Bal: Rs 15000.,Groceries,Spencers,1853
Paid Rs 1071 to Prime Video via UPI on 28-01-2026. Txn ID: 998877.,Entertainment,Prime Video,1071
Alert: You have spent Rs 546 at Spencers on 22-01-2026. Clear bal: Rs. 1200.00,Groceries,Spencers,546
Paid Rs 1040 to 1mg via UPI on 24-01-2026. Txn ID: 998877.,Health,1mg,1040
Alert: You have spent Rs 1918 at Netflix on 31-01-2026. Clear bal: Rs. 1200.00,Entertainment,Netflix,1918
Acct XX999 debited by Rs 780 for Subway on 23-01-2026.,Food,Subway,780
You paid Rs 393 at Hotstar via POS on 29-01-2026.,Entertainment,Hotstar,393
Rs. 1746 debited from a/c ending XX1234 on 10-01-2026 to BookMyShow. Avl Bal: Rs 15000.,Entertainment,BookMyShow,1746
Paid Rs 1328 to Pizza Hut via UPI on 02-02-2026. Txn ID: 998877.,Food,Pizza Hut,1328
UPI txn of Rs 1721 to SonyLIV on 06-02-2026 is successful.,Entertainment,SonyLIV,1721
UPI txn of Rs 1541 to Netflix on 15-01-2026 is successful.,Entertainment,Netflix,1541
Acct XX999 debited by Rs 4338 for Zara on 19-01-2026.,Shopping,Zara,4338
Acct XX999 debited by Rs 3574 for Reliance Trends on 16-01-2026.,Shopping,Reliance Trends,3574
You paid Rs 4358 at Flipkart via POS on 17-01-2026.,Shopping,Flipkart,4358
You paid Rs 157 at Dmart via POS on 29-01-2026.,Groceries,Dmart,157
Paid Rs 1010 to Burger King via UPI on 26-01-2026. Txn ID: 998877.,Food,Burger King,1010
Rs. 2896 debited from a/c ending XX1234 on 02-02-2026 to Flipkart. Avl Bal: Rs 15000.,Shopping,Flipkart,2896
UPI txn of Rs 1613 to PVR on 13-01-2026 is successful.,Entertainment,PVR,1613
INR 1221 charged on card ending 4455 at McDonalds on 29-01-2026.,Food,McDonalds,1221
Rs. 1552 debited from a/c ending XX1234 on 20-01-2026 to IRCTC. Avl Bal: Rs 15000.,Travel,IRCTC,1552
Acct XX999 debited by Rs 4079 for Reliance Trends on 06-02-2026.,Shopping,Reliance Trends,4079
Txn of INR 812 done at Starbucks on 27-01-2026 using UPI.,Food,Starbucks,812
Paid Rs 222 to Netflix via UPI on 14-01-2026. Txn ID: 998877.,Entertainment,Netflix,222
INR 367 charged on card ending 4455 at SpiceJet on 12-01-2026.,Travel,SpiceJet,367
Paid Rs 575 to Gym Membership via UPI on 27-01-2026. Txn ID: 998877.,Health,Gym Membership,575
UPI txn of Rs 849 to Reliance Fresh on 01-02-2026 is successful.,Groceries,Reliance Fresh,849
Paid Rs 305 to Apollo Pharmacy via UPI on 12-01-2026. Txn ID: 998877.,Health,Apollo Pharmacy,305
Txn of INR 1492 done at Hotstar on 14-01-2026 using UPI.,Entertainment,Hotstar,1492
UPI txn of Rs 1670 to SpiceJet on 18-01-2026 is successful.,Travel,SpiceJet,1670
Paid Rs 1683 to Netflix via UPI on 30-01-2026. Txn ID: 998877.,Entertainment,Netflix,1683
You paid Rs 851 at Metro via POS on 28-01-2026.,Travel,Metro,851
Alert: You have spent Rs 461 at Spotify on 02-02-2026. Clear bal: Rs. 1200.00,Entertainment,Spotify,461
INR 4003 charged on card ending 4455 at Myntra on 28-01-2026.,Shopping,Myntra,4003
INR 414 charged on card ending 4455 at KFC on 13-01-2026.,Food,KFC,414
"Dear User, INR 645 spent on Spencers at 18-01-2026. Ref: 8932742.",Groceries,Spencers,645
Paid Rs 1149 to 1mg via UPI on 25-01-2026. Txn ID: 998877.,Health,1mg,1149
Acct XX999 debited by Rs 336 for RedBus on 20-01-2026.,Travel,RedBus,336
Rs. 3319 debited from a/c ending XX1234 on 08-02-2026 to Reliance Trends. Avl Bal: Rs 15000.,Shopping,Reliance Trends,3319
INR 1184 charged on card ending 4455 at Netmeds on 21-01-2026.,Health,Netmeds,1184
Paid Rs 275 to Gym Membership via UPI on 30-01-2026. Txn ID: 998877.,Health,Gym Membership,275
Paid Rs 143 to More Supermarket via UPI on 09-02-2026. Txn ID: 998877.,Groceries,More Supermarket,143
Paid Rs 3597 to Decathlon via UPI on 08-02-2026. Txn ID: 998877.,Shopping,Decathlon,3597
Alert: You have spent Rs 3301 at Croma on 24-01-2026. Clear bal: Rs. 1200.00,Shopping,Croma,3301
INR 406 charged on card ending 4455 at Netmeds on 14-01-2026.,Health,Netmeds,406
Txn of INR 78 done at Ola on 15-01-2026 using UPI.,Travel,Ola,78
Alert: You have spent Rs 2234 at Croma on 09-02-2026. Clear bal: Rs. 1200.00,Shopping,Croma,2234
Txn of INR 970 done at More Supermarket on 09-02-2026 using UPI.,Groceries,More Supermarket,970
Rs. 707 debited from a/c ending XX1234 on 05-02-2026 to Practo. Avl Bal: Rs 15000.,Health,Practo,707
You paid Rs 76 at Prime Video via POS on 26-01-2026.,Entertainment,Prime Video,76
Rs. 187 debited from a/c ending XX1234 on 13-01-2026 to Zomato. Avl Bal: Rs 15000.,Food,Zomato,187
INR 278 charged on card ending 4455 at Ola on 03-02-2026.,Travel,Ola,278
"Dear User, INR 284 spent on RedBus at 17-01-2026. Ref: 8932742.",Travel,RedBus,284
UPI txn of Rs 224 to Starbucks on 11-01-2026 is successful.,Food,Starbucks,224
Paid Rs 4576 to Ajio via UPI on 07-02-2026. Txn ID: 998877.,Shopping,Ajio,4576
Acct XX999 debited by Rs 1149 for Gaana on 22-01-2026.,Entertainment,Gaana,1149
You paid Rs 794 at Dominos via POS on 11-01-2026.,Food,Dominos,794
You paid Rs 3503 at Reliance Trends via POS on 24-01-2026.,Shopping,Reliance Trends,3503
Alert: You have spent Rs 1031 at Flipkart on 17-01-2026. Clear bal: Rs. 1200.00,Shopping,Flipkart,1031
Acct XX999 debited by Rs 280 for More Supermarket on 31-01-2026.,Groceries,More Supermarket,280
Txn of INR 2330 done at Reliance Trends on 09-02-2026 using UPI.,Shopping,Reliance Trends,2330
Alert: You have spent Rs 1014 at IndiGo on 19-01-2026. Clear bal: Rs. 1200.00,Travel,IndiGo,1014
Txn of INR 4300 done at Croma on 04-02-2026 using UPI.,Shopping,Croma,4300
INR 1536 charged on card ending 4455 at Decathlon on 25-01-2026.,Shopping,Decathlon,1536
Alert: You have spent Rs 1302 at SonyLIV on 20-01-2026. Clear bal: Rs. 1200.00,Entertainment,SonyLIV,1302
UPI txn of Rs 488 to PVR on 20-01-2026 is successful.,Entertainment,PVR,488
