amount,merchant,date,original_text,true_category
770,card ending 4455,23-01-2026,INR 770 charged on card ending 4455 at 1mg on 23-01-2026.,Health
1219,Cafe Coffee Day,19-01-2026,Acct XX999 debited by Rs 1219 for Cafe Coffee Day on 19-01-2026.,Food
2534,Amaz,05-02-2026,Txn of INR 2534 done at Amazon on 05-02-2026 using UPI.,Shopping
1124,BigBasket,15-01-2026,Alert: You have spent Rs 1124 at BigBasket on 15-01-2026. Clear bal: Rs. 1200.00,Groceries
336,S,13-01-2026,"Dear User, INR 336 spent on SonyLIV at 13-01-2026. Ref: 8932742.",Entertainment
227,card ending 4455,20-01-2026,INR 227 charged on card ending 4455 at SonyLIV on 20-01-2026.,Entertainment
1711,23-01-2026 to 1mg,23-01-2026,Rs. 1711 debited from a/c ending XX1234 on 23-01-2026 to 1mg. Avl Bal: Rs 15000.,Health
692,IRCTC,25-01-2026,UPI txn of Rs 692 to IRCTC on 25-01-2026 is successful.,Travel
2827,H&M,09-02-2026,UPI txn of Rs 2827 to H&M on 09-02-2026 is successful.,Shopping
1417,McD,30-01-2026,UPI txn of Rs 1417 to McDonalds on 30-01-2026 is successful.,Food
344,card ending 4455,21-01-2026,INR 344 charged on card ending 4455 at IRCTC on 21-01-2026.,Travel
798,Myntra,07-02-2026,"Dear User, INR 798 spent on Myntra at 07-02-2026. Ref: 8932742.",Shopping
4285,Reliance Trends,11-01-2026,You paid Rs 4285 at Reliance Trends via POS on 11-01-2026.,Shopping
1324,Prime Video,31-01-2026,UPI txn of Rs 1324 to Prime Video on 31-01-2026 is successful.,Entertainment
1805,Reliance Fresh,14-01-2026,UPI txn of Rs 1805 to Reliance Fresh on 14-01-2026 is successful.,Groceries
1593,1mg,17-01-2026,Acct XX999 debited by Rs 1593 for 1mg on 17-01-2026.,Health
236,1mg,29-01-2026,Alert: You have spent Rs 236 at 1mg on 29-01-2026. Clear bal: Rs. 1200.00,Health
439,Pizza Hut,15-01-2026,You paid Rs 439 at Pizza Hut via POS on 15-01-2026.,Food
1124,card ending 4455,28-01-2026,INR 1124 charged on card ending 4455 at Starbucks on 28-01-2026.,Food
598,McD,03-02-2026,You paid Rs 598 at McDonalds via POS on 03-02-2026.,Food
1357,McD,23-01-2026,You paid Rs 1357 at McDonalds via POS on 23-01-2026.,Food
105,Gaana,02-02-2026,"Dear User, INR 105 spent on Gaana at 02-02-2026. Ref: 8932742.",Entertainment
2344,Nike,24-01-2026,Alert: You have spent Rs 2344 at Nike on 24-01-2026. Clear bal: Rs. 1200.00,Shopping
1607,Dec,08-02-2026,Alert: You have spent Rs 1607 at Decathlon on 08-02-2026. Clear bal: Rs. 1200.00,Shopping
306,KFC,28-01-2026,Alert: You have spent Rs 306 at KFC on 28-01-2026. Clear bal: Rs. 1200.00,Food
1475,Spencers,10-01-2026,"Dear User, INR 1475 spent on Spencers at 10-01-2026. Ref: 8932742.",Groceries
1087,Practo,26-01-2026,Paid Rs 1087 to Practo via UPI on 26-01-2026. Txn ID: 998877.,Health
1146,BigBasket,22-01-2026,UPI txn of Rs 1146 to BigBasket on 22-01-2026 is successful.,Groceries
1424,Gym Membership,17-01-2026,Txn of INR 1424 done at Gym Membership on 17-01-2026 using UPI.,Health
1021,Shell Petrol,11-01-2026,You paid Rs 1021 at Shell Petrol via POS on 11-01-2026.,Travel
981,card ending 4455,30-01-2026,INR 981 charged on card ending 4455 at BigBasket on 30-01-2026.,Groceries
155,More Supermarket,07-02-2026,UPI txn of Rs 155 to More Supermarket on 07-02-2026 is successful.,Groceries
258,13-01-2026 to Swiggy,13-01-2026,Rs. 258 debited from a/c ending XX1234 on 13-01-2026 to Swiggy. Avl Bal: Rs 15000.,Food
1551,Netflix,29-01-2026,UPI txn of Rs 1551 to Netflix on 29-01-2026 is successful.,Entertainment
1963,Metro,03-02-2026,Alert: You have spent Rs 1963 at Metro on 03-02-2026. Clear bal: Rs. 1200.00,Travel
914,Apollo Pharmacy,10-01-2026,Acct XX999 debited by Rs 914 for Apollo Pharmacy on 10-01-2026.,Health
1300,Apollo Pharmacy,19-01-2026,Txn of INR 1300 done at Apollo Pharmacy on 19-01-2026 using UPI.,Health
319,Netmeds,08-02-2026,Txn of INR 319 done at Netmeds on 08-02-2026 using UPI.,Health
2507,H&M,06-02-2026,Acct XX999 debited by Rs 2507 for H&M on 06-02-2026.,Shopping
767,Haldirams,08-02-2026,Alert: You have spent Rs 767 at Haldirams on 08-02-2026. Clear bal: Rs. 1200.00,Food
843,18-01-2026 to Ola,18-01-2026,Rs. 843 debited from a/c ending XX1234 on 18-01-2026 to Ola. Avl Bal: Rs 15000.,Travel
1202,Netflix,17-01-2026,You paid Rs 1202 at Netflix via POS on 17-01-2026.,Entertainment
1017,McD,06-02-2026,Txn of INR 1017 done at McDonalds on 06-02-2026 using UPI.,Food
1968,29-01-2026 to 1mg,29-01-2026,Rs. 1968 debited from a/c ending XX1234 on 29-01-2026 to 1mg. Avl Bal: Rs 15000.,Health
203,Rapido,27-01-2026,"Dear User, INR 203 spent on Rapido at 27-01-2026. Ref: 8932742.",Travel
708,card ending 4455,06-02-2026,INR 708 charged on card ending 4455 at Myntra on 06-02-2026.,Shopping
155,Indian Oil,08-02-2026,Acct XX999 debited by Rs 155 for Indian Oil on 08-02-2026.,Travel
985,Practo,04-02-2026,Txn of INR 985 done at Practo on 04-02-2026 using UPI.,Health
847,Dominos,06-02-2026,UPI txn of Rs 847 to Dominos on 06-02-2026 is successful.,Food
1739,card ending 4455,27-01-2026,INR 1739 charged on card ending 4455 at Netmeds on 27-01-2026.,Health
765,McD,29-01-2026,Alert: You have spent Rs 765 at McDonalds on 29-01-2026. Clear bal: Rs. 1200.00,Food
1884,1mg,16-01-2026,Txn of INR 1884 done at 1mg on 16-01-2026 using UPI.,Health
150,05-02-2026 to Zom,05-02-2026,Rs. 150 debited from a/c ending XX1234 on 05-02-2026 to Zomato. Avl Bal: Rs 15000.,Food
569,Practo,08-02-2026,UPI txn of Rs 569 to Practo on 08-02-2026 is successful.,Health
2561,Croma,31-01-2026,Txn of INR 2561 done at Croma on 31-01-2026 using UPI.,Shopping
677,card ending 4455,22-01-2026,INR 677 charged on card ending 4455 at BigBasket on 22-01-2026.,Groceries
2079,30-01-2026 to Croma,30-01-2026,Rs. 2079 debited from a/c ending XX1234 on 30-01-2026 to Croma. Avl Bal: Rs 15000.,Shopping
335,card ending 4455,07-02-2026,INR 335 charged on card ending 4455 at Reliance Fresh on 07-02-2026.,Groceries
1179,Starbucks,22-01-2026,Alert: You have spent Rs 1179 at Starbucks on 22-01-2026. Clear bal: Rs. 1200.00,Food
83,More Supermarket,25-01-2026,Paid Rs 83 to More Supermarket via UPI on 25-01-2026. Txn ID: 998877.,Groceries
937,KFC,10-01-2026,Txn of INR 937 done at KFC on 10-01-2026 using UPI.,Food
341,BookMyShow,12-01-2026,Alert: You have spent Rs 341 at BookMyShow on 12-01-2026. Clear bal: Rs. 1200.00,Entertainment
440,Subway,08-02-2026,"Dear User, INR 440 spent on Subway at 08-02-2026. Ref: 8932742.",Food
1511,14-01-2026 to S,14-01-2026,Rs. 1511 debited from a/c ending XX1234 on 14-01-2026 to SonyLIV. Avl Bal: Rs 15000.,Entertainment
4084,Myntra,29-01-2026,Txn of INR 4084 done at Myntra on 29-01-2026 using UPI.,Shopping
3025,Myntra,09-02-2026,UPI txn of Rs 3025 to Myntra on 09-02-2026 is successful.,Shopping
536,card ending 4455,30-01-2026,INR 536 charged on card ending 4455 at Indian Oil on 30-01-2026.,Travel
594,1mg,08-02-2026,You paid Rs 594 at 1mg via POS on 08-02-2026.,Health
1675,card ending 4455,28-01-2026,INR 1675 charged on card ending 4455 at Gym Membership on 28-01-2026.,Health
1502,More Supermarket,03-02-2026,Txn of INR 1502 done at More Supermarket on 03-02-2026 using UPI.,Groceries
865,Dr Lal P,04-02-2026,Alert: You have spent Rs 865 at Dr Lal Pathlabs on 04-02-2026. Clear bal: Rs. 1200.00,Health
96,BookMyShow,16-01-2026,Paid Rs 96 to BookMyShow via UPI on 16-01-2026. Txn ID: 998877.,Entertainment
3230,Dec,23-01-2026,You paid Rs 3230 at Decathlon via POS on 23-01-2026.,Shopping
421,KFC,02-02-2026,Paid Rs 421 to KFC via UPI on 02-02-2026. Txn ID: 998877.,Food
2721,Nike,13-01-2026,You paid Rs 2721 at Nike via POS on 13-01-2026.,Shopping
201,KFC,31-01-2026,UPI txn of Rs 201 to KFC on 31-01-2026 is successful.,Food
307,Dominos,29-01-2026,Acct XX999 debited by Rs 307 for Dominos on 29-01-2026.,Food
1178,KFC,01-02-2026,Alert: You have spent Rs 1178 at KFC on 01-02-2026. Clear bal: Rs. 1200.00,Food
438,02-02-2026 to Hotstar,02-02-2026,Rs. 438 debited from a/c ending XX1234 on 02-02-2026 to Hotstar. Avl Bal: Rs 15000.,Entertainment
779,Cafe Coffee Day,20-01-2026,"Dear User, INR 779 spent on Cafe Coffee Day at 20-01-2026. Ref: 8932742.",Food
1657,Dmart,05-02-2026,Paid Rs 1657 to Dmart via UPI on 05-02-2026. Txn ID: 998877.,Groceries
1012,Swiggy,06-02-2026,Acct XX999 debited by Rs 1012 for Swiggy on 06-02-2026.,Food
965,Prime Video,02-02-2026,Acct XX999 debited by Rs 965 for Prime Video on 02-02-2026.,Entertainment
1970,BigBasket,30-01-2026,"Dear User, INR 1970 spent on BigBasket at 30-01-2026. Ref: 8932742.",Groceries
789,card ending 4455,15-01-2026,INR 789 charged on card ending 4455 at Ajio on 15-01-2026.,Shopping
417,Reliance Fresh,24-01-2026,You paid Rs 417 at Reliance Fresh via POS on 24-01-2026.,Groceries
242,card ending 4455,13-01-2026,INR 242 charged on card ending 4455 at Dr Lal Pathlabs on 13-01-2026.,Health
174,Subway,29-01-2026,You paid Rs 174 at Subway via POS on 29-01-2026.,Food
999,S,13-01-2026,UPI txn of Rs 999 to SonyLIV on 13-01-2026 is successful.,Entertainment
4564,Ajio,03-02-2026,UPI txn of Rs 4564 to Ajio on 03-02-2026 is successful.,Shopping
1743,Blinkit,16-01-2026,Acct XX999 debited by Rs 1743 for Blinkit on 16-01-2026.,Groceries
464,Dr Lal P,27-01-2026,UPI txn of Rs 464 to Dr Lal Pathlabs on 27-01-2026 is successful.,Health
1157,More Supermarket,23-01-2026,Alert: You have spent Rs 1157 at More Supermarket on 23-01-2026. Clear bal: Rs. 1200.00,Groceries
1438,20-01-2026 to Swiggy,20-01-2026,Rs. 1438 debited from a/c ending XX1234 on 20-01-2026 to Swiggy. Avl Bal: Rs 15000.,Food
3328,Myntra,02-02-2026,UPI txn of Rs 3328 to Myntra on 02-02-2026 is successful.,Shopping
836,21-01-2026 to Uber,21-01-2026,Rs. 836 debited from a/c ending XX1234 on 21-01-2026 to Uber. Avl Bal: Rs 15000.,Travel
4118,Croma,31-01-2026,Acct XX999 debited by Rs 4118 for Croma on 31-01-2026.,Shopping
871,Rapido,15-01-2026,Acct XX999 debited by Rs 871 for Rapido on 15-01-2026.,Travel
3662,card ending 4455,12-01-2026,INR 3662 charged on card ending 4455 at Amazon on 12-01-2026.,Shopping
1278,Starbucks,04-02-2026,"Dear User, INR 1278 spent on Starbucks at 04-02-2026. Ref: 8932742.",Food
927,card ending 4455,18-01-2026,INR 927 charged on card ending 4455 at BigBasket on 18-01-2026.,Groceries
1321,Spencers,17-01-2026,Paid Rs 1321 to Spencers via UPI on 17-01-2026. Txn ID: 998877.,Groceries
1017,IRCTC,12-01-2026,UPI txn of Rs 1017 to IRCTC on 12-01-2026 is successful.,Travel
4899,Amaz,08-02-2026,"Dear User, INR 4899 spent on Amazon at 08-02-2026. Ref: 8932742.",Shopping
94,Netflix,06-02-2026,UPI txn of Rs 94 to Netflix on 06-02-2026 is successful.,Entertainment
886,BigBasket,27-01-2026,Paid Rs 886 to BigBasket via UPI on 27-01-2026. Txn ID: 998877.,Groceries
473,11-01-2026 to RedBus,11-01-2026,Rs. 473 debited from a/c ending XX1234 on 11-01-2026 to RedBus. Avl Bal: Rs 15000.,Travel
1267,Subway,01-02-2026,"Dear User, INR 1267 spent on Subway at 01-02-2026. Ref: 8932742.",Food
941,Croma,07-02-2026,"Dear User, INR 941 spent on Croma at 07-02-2026. Ref: 8932742.",Shopping
353,card ending 4455,12-01-2026,INR 353 charged on card ending 4455 at Subway on 12-01-2026.,Food
1812,BigBasket,14-01-2026,Acct XX999 debited by Rs 1812 for BigBasket on 14-01-2026.,Groceries
103,Netmeds,04-02-2026,You paid Rs 103 at Netmeds via POS on 04-02-2026.,Health
74,card ending 4455,13-01-2026,INR 74 charged on card ending 4455 at Spencers on 13-01-2026.,Groceries
951,04-02-2026 to Subway,04-02-2026,Rs. 951 debited from a/c ending XX1234 on 04-02-2026 to Subway. Avl Bal: Rs 15000.,Food
1884,Ajio,14-01-2026,Paid Rs 1884 to Ajio via UPI on 14-01-2026. Txn ID: 998877.,Shopping
1809,Amaz,27-01-2026,"Dear User, INR 1809 spent on Amazon at 27-01-2026. Ref: 8932742.",Shopping
557,27-01-2026 to Practo,27-01-2026,Rs. 557 debited from a/c ending XX1234 on 27-01-2026 to Practo. Avl Bal: Rs 15000.,Health
900,Subway,09-02-2026,UPI txn of Rs 900 to Subway on 09-02-2026 is successful.,Food
1613,Netflix,09-02-2026,Txn of INR 1613 done at Netflix on 09-02-2026 using UPI.,Entertainment
905,IRCTC,14-01-2026,Alert: You have spent Rs 905 at IRCTC on 14-01-2026. Clear bal: Rs. 1200.00,Travel
1256,Metro,12-01-2026,You paid Rs 1256 at Metro via POS on 12-01-2026.,Travel
553,S,06-02-2026,Acct XX999 debited by Rs 553 for SonyLIV on 06-02-2026.,Entertainment
499,Dr Lal P,13-01-2026,"Dear User, INR 499 spent on Dr Lal Pathlabs at 13-01-2026. Ref: 8932742.",Health
1889,Netflix,03-02-2026,Acct XX999 debited by Rs 1889 for Netflix on 03-02-2026.,Entertainment
1061,Pizza Hut,19-01-2026,Alert: You have spent Rs 1061 at Pizza Hut on 19-01-2026. Clear bal: Rs. 1200.00,Food
1914,Apollo Pharmacy,10-01-2026,UPI txn of Rs 1914 to Apollo Pharmacy on 10-01-2026 is successful.,Health
1975,Shell Petrol,27-01-2026,Acct XX999 debited by Rs 1975 for Shell Petrol on 27-01-2026.,Travel
1869,Prime Video,19-01-2026,Acct XX999 debited by Rs 1869 for Prime Video on 19-01-2026.,Entertainment
449,SpiceJet,09-02-2026,Paid Rs 449 to SpiceJet via UPI on 09-02-2026. Txn ID: 998877.,Travel
178,Spotify,27-01-2026,"Dear User, INR 178 spent on Spotify at 27-01-2026. Ref: 8932742.",Entertainment
872,Metro,06-02-2026,Txn of INR 872 done at Metro on 06-02-2026 using UPI.,Travel
1742,Prime Video,06-02-2026,"Dear User, INR 1742 spent on Prime Video at 06-02-2026. Ref: 8932742.",Entertainment
1947,Netmeds,05-02-2026,"Dear User, INR 1947 spent on Netmeds at 05-02-2026. Ref: 8932742.",Health
54,Shell Petrol,10-01-2026,Alert: You have spent Rs 54 at Shell Petrol on 10-01-2026. Clear bal: Rs. 1200.00,Travel
1376,card ending 4455,31-01-2026,INR 1376 charged on card ending 4455 at More Supermarket on 31-01-2026.,Groceries
1026,Reliance Fresh,05-02-2026,Acct XX999 debited by Rs 1026 for Reliance Fresh on 05-02-2026.,Groceries
2725,Amaz,02-02-2026,"Dear User, INR 2725 spent on Amazon at 02-02-2026. Ref: 8932742.",Shopping
231,Spotify,09-02-2026,Paid Rs 231 to Spotify via UPI on 09-02-2026. Txn ID: 998877.,Entertainment
1278,Burger King,21-01-2026,"Dear User, INR 1278 spent on Burger King at 21-01-2026. Ref: 8932742.",Food
1959,IRCTC,30-01-2026,Acct XX999 debited by Rs 1959 for IRCTC on 30-01-2026.,Travel
187,KFC,26-01-2026,You paid Rs 187 at KFC via POS on 26-01-2026.,Food
228,24-01-2026 to Apollo Pharmacy,24-01-2026,Rs. 228 debited from a/c ending XX1234 on 24-01-2026 to Apollo Pharmacy. Avl Bal: Rs 15000.,Health
129,Indian Oil,17-01-2026,You paid Rs 129 at Indian Oil via POS on 17-01-2026.,Travel
263,Subway,14-01-2026,Alert: You have spent Rs 263 at Subway on 14-01-2026. Clear bal: Rs. 1200.00,Food
135,Starbucks,31-01-2026,Acct XX999 debited by Rs 135 for Starbucks on 31-01-2026.,Food
1570,28-01-2026 to Spencers,28-01-2026,Rs. 1570 debited from a/c ending XX1234 on 28-01-2026 to Spencers. Avl Bal: Rs 15000.,Groceries
1737,06-02-2026 to Indian Oil,06-02-2026,Rs. 1737 debited from a/c ending XX1234 on 06-02-2026 to Indian Oil. Avl Bal: Rs 15000.,Travel
1291,Gym Membership,28-01-2026,Alert: You have spent Rs 1291 at Gym Membership on 28-01-2026. Clear bal: Rs. 1200.00,Health
1108,1mg,31-01-2026,Acct XX999 debited by Rs 1108 for 1mg on 31-01-2026.,Health
1257,Gym Membership,13-01-2026,UPI txn of Rs 1257 to Gym Membership on 13-01-2026 is successful.,Health
369,Netmeds,24-01-2026,Paid Rs 369 to Netmeds via UPI on 24-01-2026. Txn ID: 998877.,Health
2571,H&M,22-01-2026,You paid Rs 2571 at H&M via POS on 22-01-2026.,Shopping
267,Reliance Fresh,07-02-2026,Alert: You have spent Rs 267 at Reliance Fresh on 07-02-2026. Clear bal: Rs. 1200.00,Groceries
1280,Netmeds,12-01-2026,UPI txn of Rs 1280 to Netmeds on 12-01-2026 is successful.,Health
3311,Croma,29-01-2026,Alert: You have spent Rs 3311 at Croma on 29-01-2026. Clear bal: Rs. 1200.00,Shopping
325,Gym Membership,10-01-2026,Alert: You have spent Rs 325 at Gym Membership on 10-01-2026. Clear bal: Rs. 1200.00,Health
1742,BigBasket,02-02-2026,Paid Rs 1742 to BigBasket via UPI on 02-02-2026. Txn ID: 998877.,Groceries
423,PVR,28-01-2026,"Dear User, INR 423 spent on PVR at 28-01-2026. Ref: 8932742.",Entertainment
925,Dr Lal P,13-01-2026,UPI txn of Rs 925 to Dr Lal Pathlabs on 13-01-2026 is successful.,Health
1134,10-01-2026 to Haldirams,10-01-2026,Rs. 1134 debited from a/c ending XX1234 on 10-01-2026 to Haldirams. Avl Bal: Rs 15000.,Food
1419,Subway,25-01-2026,UPI txn of Rs 1419 to Subway on 25-01-2026 is successful.,Food
1307,Practo,04-02-2026,Alert: You have spent Rs 1307 at Practo on 04-02-2026. Clear bal: Rs. 1200.00,Health
1426,Burger King,10-01-2026,"Dear User, INR 1426 spent on Burger King at 10-01-2026. Ref: 8932742.",Food
198,card ending 4455,03-02-2026,INR 198 charged on card ending 4455 at Reliance Fresh on 03-02-2026.,Groceries
518,Ola,29-01-2026,UPI txn of Rs 518 to Ola on 29-01-2026 is successful.,Travel
1091,20-01-2026 to Haldirams,20-01-2026,Rs. 1091 debited from a/c ending XX1234 on 20-01-2026 to Haldirams. Avl Bal: Rs 15000.,Food
1406,Haldirams,23-01-2026,Paid Rs 1406 to Haldirams via UPI on 23-01-2026. Txn ID: 998877.,Food
1078,06-02-2026 to Subway,06-02-2026,Rs. 1078 debited from a/c ending XX1234 on 06-02-2026 to Subway. Avl Bal: Rs 15000.,Food
3639,Flipkart,01-02-2026,Alert: You have spent Rs 3639 at Flipkart on 01-02-2026. Clear bal: Rs. 1200.00,Shopping
720,Reliance Trends,17-01-2026,"Dear User, INR 720 spent on Reliance Trends at 17-01-2026. Ref: 8932742.",Shopping
874,17-01-2026 to Ola,17-01-2026,Rs. 874 debited from a/c ending XX1234 on 17-01-2026 to Ola. Avl Bal: Rs 15000.,Travel
1853,31-01-2026 to Spencers,31-01-2026,Rs. 1853 debited from a/c ending XX1234 on 31-01-2026 to Spencers. Avl Bal: Rs 15000.,Groceries
1071,Prime Video,28-01-2026,Paid Rs 1071 to Prime Video via UPI on 28-01-2026. Txn ID: 998877.,Entertainment
546,Spencers,22-01-2026,Alert: You have spent Rs 546 at Spencers on 22-01-2026. Clear bal: Rs. 1200.00,Groceries
1040,1mg,24-01-2026,Paid Rs 1040 to 1mg via UPI on 24-01-2026. Txn ID: 998877.,Health
1918,Netflix,31-01-2026,Alert: You have spent Rs 1918 at Netflix on 31-01-2026. Clear bal: Rs. 1200.00,Entertainment
780,Subway,23-01-2026,Acct XX999 debited by Rs 780 for Subway on 23-01-2026.,Food
393,Hotstar,29-01-2026,You paid Rs 393 at Hotstar via POS on 29-01-2026.,Entertainment
1746,10-01-2026 to BookMyShow,10-01-2026,Rs. 1746 debited from a/c ending XX1234 on 10-01-2026 to BookMyShow. Avl Bal: Rs 15000.,Entertainment
1328,Pizza Hut,02-02-2026,Paid Rs 1328 to Pizza Hut via UPI on 02-02-2026. Txn ID: 998877.,Food
1721,S,06-02-2026,UPI txn of Rs 1721 to SonyLIV on 06-02-2026 is successful.,Entertainment
1541,Netflix,15-01-2026,UPI txn of Rs 1541 to Netflix on 15-01-2026 is successful.,Entertainment
4338,Zara,19-01-2026,Acct XX999 debited by Rs 4338 for Zara on 19-01-2026.,Shopping
3574,Reliance Trends,16-01-2026,Acct XX999 debited by Rs 3574 for Reliance Trends on 16-01-2026.,Shopping
4358,Flipkart,17-01-2026,You paid Rs 4358 at Flipkart via POS on 17-01-2026.,Shopping
157,Dmart,29-01-2026,You paid Rs 157 at Dmart via POS on 29-01-2026.,Groceries
1010,Burger King,26-01-2026,Paid Rs 1010 to Burger King via UPI on 26-01-2026. Txn ID: 998877.,Food
2896,02-02-2026 to Flipkart,02-02-2026,Rs. 2896 debited from a/c ending XX1234 on 02-02-2026 to Flipkart. Avl Bal: Rs 15000.,Shopping
1613,PVR,13-01-2026,UPI txn of Rs 1613 to PVR on 13-01-2026 is successful.,Entertainment
1221,card ending 4455,29-01-2026,INR 1221 charged on card ending 4455 at McDonalds on 29-01-2026.,Food
1552,20-01-2026 to IRCTC,20-01-2026,Rs. 1552 debited from a/c ending XX1234 on 20-01-2026 to IRCTC. Avl Bal: Rs 15000.,Travel
4079,Reliance Trends,06-02-2026,Acct XX999 debited by Rs 4079 for Reliance Trends on 06-02-2026.,Shopping
812,Starbucks,27-01-2026,Txn of INR 812 done at Starbucks on 27-01-2026 using UPI.,Food
222,Netflix,14-01-2026,Paid Rs 222 to Netflix via UPI on 14-01-2026. Txn ID: 998877.,Entertainment
367,card ending 4455,12-01-2026,INR 367 charged on card ending 4455 at SpiceJet on 12-01-2026.,Travel
575,Gym Membership,27-01-2026,Paid Rs 575 to Gym Membership via UPI on 27-01-2026. Txn ID: 998877.,Health
849,Reliance Fresh,01-02-2026,UPI txn of Rs 849 to Reliance Fresh on 01-02-2026 is successful.,Groceries
305,Apollo Pharmacy,12-01-2026,Paid Rs 305 to Apollo Pharmacy via UPI on 12-01-2026. Txn ID: 998877.,Health
